movieid,crewid,name,originalname,job,role,isadult,gender,popularity,department,knownfordepartment
2,16767,Aki Kaurismäki,Aki Kaurismäki,Director,DIRECTOR,false,Male,4.77,Directing,Directing
2,16767,Aki Kaurismäki,Aki Kaurismäki,Producer,PRODUCER,false,Male,4.77,Production,Directing
2,16767,Aki Kaurismäki,Aki Kaurismäki,Writer,WRITER,false,Male,4.77,Writing,Directing
2,16769,Timo Salminen,Timo Salminen,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,1.382,Camera,Camera
2,54766,Raija Talvio,Raija Talvio,Editor,EDITOR,false,Female,1.4,Editing,Editing
2,53836,Risto Karhula,Risto Karhula,ProductionDesign,PRODUCTIONDESIGN,false,Male,0.6,Art,Art
2,54771,Tuula Hilkamo,Tuula Hilkamo,CostumeDesign,COSTUMEDESIGN,false,Female,1.38,Costume & Make-Up,Costume & Make-Up
2,4831,Jaakko Talaskivi,Jaakko Talaskivi,ProductionManager,PRODUCTIONMANAGER,false,Male,2.246,Production,Acting
2,16772,Jouko Lumme,Jouko Lumme,Sound,SOUND,false,Male,0.694,Sound,Sound
2,109893,Veikko Aaltonen,Veikko Aaltonen,SoundAssistant,SOUNDASSISTANT,false,Male,0.6,Sound,Directing
2,110756,Juuso Hirvikangas,Juuso Hirvikangas,Gaffer,GAFFER,false,Male,2.068,Lighting,Acting
2,110793,Rauli Somerjoki,Rauli Somerjoki,Music,MUSIC,false,Male,0.84,Sound,Sound
2,1034489,Pauli Pentti,Pauli Pentti,AssistantDirector,ASSISTANTDIRECTOR,false,Male,1.4,Directing,Directing
2,1084612,Heikki Ukkonen,Heikki Ukkonen,LocationManager,LOCATIONMANAGER,false,Male,0.6,Production,Production
2,1303969,Marja-Leena Hukkanen,Marja-Leena Hukkanen,StillPhotographer,STILLPHOTOGRAPHER,false,Female,0.6,Camera,Camera
2,1303969,Marja-Leena Hukkanen,Marja-Leena Hukkanen,ScriptSupervisor,SCRIPTSUPERVISOR,false,Female,0.6,Directing,Camera
2,1381112,Mikko Mattila,Mikko Mattila,Gaffer,GAFFER,false,Male,0.6,Lighting,Lighting
2,1381113,Olli Varja,Olli Varja,Gaffer,GAFFER,false,Male,1.4,Lighting,Lighting
2,1403857,Olavi Virta,Olavi Virta,Music,MUSIC,false,Male,0.98,Sound,Acting
2,1416993,Sirkka Rautiainen,Sirkka Rautiainen,CostumeAssistant,COSTUMEASSISTANT,false,Female,0.6,Costume & Make-Up,Production
2,1540906,Heikki Ortamo,Heikki Ortamo,AssistantCamera,ASSISTANTCAMERA,false,Male,0.6,Camera,Camera
2,1666626,Seppo Saarinen,Seppo Saarinen,Carpenter,CARPENTER,false,Male,0.6,Crew,Crew
2,1674075,Outi Hyytinen,Outi Hyytinen,AssistantEditor,ASSISTANTEDITOR,false,Female,0.6,Editing,Editing
2,1683985,Kjell Westman,Kjell Westman,SoundReRecordingMixer,SOUNDRERECORDINGMIXER,false,Not set/not specified,0.6,Sound,Sound
2,1750241,Timo Markko,Timo Markko,AssistantCamera,ASSISTANTCAMERA,false,Male,0.6,Camera,Camera
2,1760644,Erkki Astala,Erkki Astala,Publicist,PUBLICIST,false,Male,1.38,Production,Production
2,1761904,Leena Palmu,Leena Palmu,NegativeCutter,NEGATIVECUTTER,false,Female,0.6,Editing,Editing
2,1940249,Erkki Lume,Erkki Lume,LocationManager,LOCATIONMANAGER,false,Male,0.6,Production,Production
2,2159272,Timo Nousiainen,Timo Nousiainen,Colorist,COLORIST,false,Male,0.6,Editing,Editing
2,2159274,Haije Alanoja,Haije Alanoja,ProductionSecretary,PRODUCTIONSECRETARY,false,Not set/not specified,0.84,Production,Production
2,2505429,Simo Sulva,Simo Sulva,PropertyMaster,PROPERTYMASTER,false,Male,0.6,Art,Art
2,2509155,Taisto Tammi,Taisto Tammi,Music,MUSIC,false,Male,0.6,Sound,Sound
2,3416563,Heikki Anttila,Heikki Anttila,Carpenter,CARPENTER,false,Male,0.6,Crew,Acting
2,3478267,Jukka Anttonen,Jukka Anttonen,Carpenter,CARPENTER,false,Male,0.6,Crew,Crew
2,3480787,Pirjo Laivuori,Pirjo Laivuori,Colorist,COLORIST,false,Female,0.6,Editing,Editing
3,16767,Aki Kaurismäki,Aki Kaurismäki,Director,DIRECTOR,false,Male,4.77,Directing,Directing
3,16767,Aki Kaurismäki,Aki Kaurismäki,Writer,WRITER,false,Male,4.77,Writing,Directing
3,16769,Timo Salminen,Timo Salminen,DirectorofPhotography,DIRECTOROFPHOTOGRAPHY,false,Male,1.382,Camera,Camera
3,54766,Raija Talvio,Raija Talvio,Editor,EDITOR,false,Female,1.4,Editing,Editing
3,54771,Tuula Hilkamo,Tuula Hilkamo,CostumeDesign,COSTUMEDESIGN,false,Female,1.38,Costume & Make-Up,Costume & Make-Up
3,54767,Mika Kaurismäki,Mika Kaurismäki,Producer,PRODUCER,false,Male,0.652,Production,Directing
3,4831,Jaakko Talaskivi,Jaakko Talaskivi,ProductionManager,PRODUCTIONMANAGER,false,Male,2.246,Production,Acting
3,16772,Jouko Lumme,Jouko Lumme,SoundEditor,SOUNDEDITOR,false,Male,0.694,Sound,Sound
3,16772,Jouko Lumme,Jouko Lumme,Sound,SOUND,false,Male,0.694,Sound,Sound
3,94755,Jukka Nykänen,Jukka Nykänen,AssistantEditor,ASSISTANTEDITOR,false,Male,0.84,Editing,Editing
3,110756,Juuso Hirvikangas,Juuso Hirvikangas,SoundAssistant,SOUNDASSISTANT,false,Male,2.068,Sound,Acting
3,1034489,Pauli Pentti,Pauli Pentti,AssistantDirector,ASSISTANTDIRECTOR,false,Male,1.4,Directing,Directing
3,1084612,Heikki Ukkonen,Heikki Ukkonen,LocationManager,LOCATIONMANAGER,false,Male,0.6,Production,Production
3,1084614,Pertti Hilkamo,Pertti Hilkamo,ProductionDesign,PRODUCTIONDESIGN,false,Male,0.6,Art,Art
3,1303969,Marja-Leena Hukkanen,Marja-Leena Hukkanen,StillPhotographer,STILLPHOTOGRAPHER,false,Female,0.6,Camera,Camera
3,1303969,Marja-Leena Hukkanen,Marja-Leena Hukkanen,ScriptSupervisor,SCRIPTSUPERVISOR,false,Female,0.6,Directing,Camera
3,1381112,Mikko Mattila,Mikko Mattila,Gaffer,GAFFER,false,Male,0.6,Lighting,Lighting
3,1381113,Olli Varja,Olli Varja,Gaffer,GAFFER,false,Male,1.4,Lighting,Lighting
3,1540906,Heikki Ortamo,Heikki Ortamo,AssistantCamera,ASSISTANTCAMERA,false,Male,0.6,Camera,Camera
3,1683985,Kjell Westman,Kjell Westman,SoundReRecordingMixer,SOUNDRERECORDINGMIXER,false,Not set/not specified,0.6,Sound,Sound
3,1750241,Timo Markko,Timo Markko,AssistantCamera,ASSISTANTCAMERA,false,Male,0.6,Camera,Camera
3,1761858,Leena Kouhia,Leena Kouhia,MakeupArtist,MAKEUPARTIST,false,Female,0.6,Costume & Make-Up,Costume & Make-Up
3,2159272,Timo Nousiainen,Timo Nousiainen,Colorist,COLORIST,false,Male,0.6,Editing,Editing
3,2159274,Haije Alanoja,Haije Alanoja,ProductionSecretary,PRODUCTIONSECRETARY,false,Not set/not specified,0.84,Production,Production
3,3479190,Eila Karkkunen,Eila Karkkunen,NegativeCutter,NEGATIVECUTTER,false,Female,0.6,Editing,Editing
5,3110,Allison Anders,Allison Anders,Director,DIRECTOR,false,Female,1.442,Directing,Directing
5,3110,Allison Anders,Allison Anders,Writer,WRITER,false,Female,1.442,Writing,Directing
