movieid,genreid,genrename
2001,18,Drama
2001,80,Crime
2001,53,Thriller
2002,18,Drama
2002,10749,Romance
2003,18,Drama
2004,35,Comedy
2004,28,Action
2004,10749,Romance
2005,10402,Music
2005,35,Comedy
2006,35,Comedy
2006,14,Fantasy
2006,10749,Romance
2007,18,Drama
2008,14,Fantasy
2008,18,Drama
2008,28,Action
2008,53,Thriller
2008,10749,Romance
2009,18,Drama
2010,18,Drama
2011,16,Animation
2011,18,Drama
2012,18,Drama
2012,10749,Romance
2013,18,Drama
2014,18,Drama
2015,18,Drama
2016,18,Drama
2016,36,History
2016,10752,War
2017,28,Action
2017,80,Crime
2017,18,Drama
2017,9648,Mystery
2017,53,Thriller
2018,35,Comedy
2018,10749,Romance
2019,28,Action
2020,35,Comedy
2020,10749,Romance
2021,35,Comedy
2021,18,Drama
2021,10749,Romance
2022,35,Comedy
2022,10749,Romance
2023,37,Western
2023,12,Adventure
2023,28,Action
2024,18,Drama
2024,36,History
2024,10752,War
2024,28,Action
2025,35,Comedy
2025,18,Drama
2026,28,Action
2026,53,Thriller
2026,80,Crime
2028,10749,Romance
2028,35,Comedy
2028,18,Drama
2029,35,Comedy
2030,35,Comedy
2030,18,Drama
2031,18,Drama
2032,35,Comedy
2032,18,Drama
2032,10752,War
2033,18,Drama
2033,10749,Romance
2034,28,Action
2034,80,Crime
2034,18,Drama
2035,10770,TV Movie
2035,53,Thriller
2036,28,Action
2036,53,Thriller
2037,18,Drama
2038,28,Action
2038,53,Thriller
2039,35,Comedy
2039,18,Drama
2039,10749,Romance
2042,36,History
2042,18,Drama
2042,10752,War
2043,80,Crime
2043,9648,Mystery
2043,53,Thriller
2043,28,Action
2044,10749,Romance
2044,18,Drama
2044,9648,Mystery
2045,28,Action
2046,27,Horror
2046,18,Drama
2046,53,Thriller
2046,9648,Mystery
2047,28,Action
2047,80,Crime
2047,18,Drama
2047,53,Thriller
2048,28,Action
2048,878,Science Fiction
2049,99,Documentary
2054,18,Drama
