title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Star Trek: Nemesis,Star Trek: Nemesis,201,tt0253754,false,117,60000000,67312826,1136,6.287,en,2002-12-13
Mean Streets,Mean Streets,203,tt0070379,false,112,500000,3000000,1677,7.121,en,1973-10-14
The Wages of Fear,Le Salaire de la peur,204,tt0046268,false,153,0,0,655,8.046,fr,1953-04-22
Hotel Rwanda,Hotel Rwanda,205,tt0395169,false,121,17500000,38000000,2349,7.718,en,2004-03-04
Paradise Found,Paradise Found,206,tt0287624,false,89,0,0,21,6.7,en,2003-01-01
Dead Poets Society,Dead Poets Society,207,tt0097165,false,128,16400000,235860116,9327,8.321,en,1989-06-02
Berlin is in Germany,Berlin is in Germany,211,tt0276820,false,97,0,0,11,5.7,de,2001-11-01
Arsenic and Old Lace,Arsenic and Old Lace,212,tt0036613,false,118,1120175,0,704,7.64,en,1944-09-01
North by Northwest,North by Northwest,213,tt0053125,false,136,4000000,13275000,3302,7.997,en,1959-07-08
Saw III,Saw III,214,tt0489270,false,114,10000000,164874275,3612,6.383,en,2006-10-27
Saw II,Saw II,215,tt0432348,false,89,4000000,147748505,4304,6.553,en,2005-10-28
Ali: Fear Eats the Soul,Angst essen Seele auf,216,tt0071141,false,93,130000,0,286,7.738,de,1974-06-05
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull,217,tt0367882,false,122,185000000,786636033,6827,5.962,en,2008-05-21
The Terminator,The Terminator,218,tt0088247,false,108,6400000,78371200,10719,7.626,en,1984-10-26
Volver,Volver,219,tt0441909,false,121,12899867,85582407,1360,7.486,es,2006-03-17
East of Eden,East of Eden,220,tt0048028,false,115,0,0,573,7.614,en,1955-04-10
Rebel Without a Cause,Rebel Without a Cause,221,tt0048545,false,111,1500000,199963,1281,7.603,en,1955-10-29
Berlin: Symphony of a Great City,Berlin: Die Sinfonie der Großstadt,222,tt0017668,false,69,0,0,77,7.8,de,1927-09-23
Rebecca,Rebecca,223,tt0032976,false,130,1288000,6000000,1338,7.936,en,1940-03-23
Man of Marble,Człowiek z marmuru,224,tt0075902,false,165,0,0,54,7,pl,1977-02-25
Man of Iron,Człowiek z żelaza,225,tt0082222,false,147,0,0,50,6.9,pl,1981-07-27
Boys Don\'t Cry,Boys Don\'t Cry,226,tt0171804,false,118,2000000,11540607,1080,7.454,en,1999-09-02
The Outsiders,The Outsiders,227,tt0086066,false,90,10000000,33697647,1012,7.3,en,1983-03-25
The Blue Angel,Der blaue Engel,228,tt0020697,false,108,0,0,237,7.319,de,1930-04-01
The Bride of Frankenstein,The Bride of Frankenstein,229,tt0026138,false,75,393750,2000000,692,7.6,en,1935-04-20
Syriana,Syriana,231,tt0365737,false,128,50000000,93974620,1107,6.425,en,2005-11-23
Rumble Fish,Rumble Fish,232,tt0086216,false,94,10000000,2494480,510,7.054,en,1983-10-20
The Wanderers,The Wanderers,233,tt0080117,false,117,0,23000000,142,7.109,en,1979-07-13
The Cabinet of Dr. Caligari,Das Cabinet des Dr. Caligari,234,tt0010323,false,77,18000,8811,1148,7.955,de,1920-02-27
Stand by Me,Stand by Me,235,tt0092005,false,89,8000000,52287414,4687,7.873,en,1986-08-08
Muriel\'s Wedding,Muriel\'s Wedding,236,tt0110598,false,106,3000000,15119639,341,6.943,en,1994-09-29
Young Adam,Young Adam,237,tt0289635,false,93,6400000,2500000,125,5.876,en,2003-09-26
The Godfather,The Godfather,238,tt0068646,false,175,6000000,245066411,16412,8.708,en,1972-03-14
Some Like It Hot,Some Like It Hot,239,tt0053291,false,122,2883848,25000000,2792,8.135,en,1959-03-19
The Godfather Part II,The Godfather Part II,240,tt0071562,false,202,13000000,102600000,9898,8.591,en,1974-12-20
